trigger,target_id,name,ra,dec,pos_err_arcsec,enhanced,z_limit,has_position,curve_url
453788,00453788,GRB110521A,08 00 31.84,+45 49 35.1,2.3,Yes,2.6,True,https://www.swift.ac.uk/xrt_curves/00453788/
453747,00453747,GRB110520A,08 57 21.66,+56 25 38.1,2.1,Yes,4.1,True,https://www.swift.ac.uk/xrt_curves/00453747/
452685,00452685,GRB110503A,08 51 5.95,+52 12 27.9,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00452685/
451901,00451901,GRB110422A,07 28 12.35,+75 06 27.9,3.5,No,3.2,True,https://www.swift.ac.uk/xrt_curves/00451901/
451794,00451794,GRB110420B,,,,,,False,https://www.swift.ac.uk/xrt_curves/00451794/
451757,00451757,GRB110420A,00 08 39.21,-37 53 10.7,2.0,Yes,4.3,True,https://www.swift.ac.uk/xrt_curves/00451757/
451343,00451343,GRB110414A,06 31 29.30,+24 21 45.0,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00451343/
451165,00451165,GRB110411A,19 25 46.06,+67 42 41.2,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00451165/
450884,00450884,GRB110407A,12 24 7.53,+15 42 42.0,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00450884/
450610,00450610,BAT_Trigger_450610,11 47 28.94,-61 57 15.4,2.4,Yes,2.0,True,https://www.swift.ac.uk/xrt_curves/00450610/
450545,00450545,GRB110402A,13 09 36.40,+61 15 10.3,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00450545/
449907,00449907,BAT_Trigger_449907,17 54 25.35,-26 19 52.3,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00449907/
449578,00449578,GRB110319A,23 46 0.40,-66 00 40.9,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00449578/
449549,00449549,GRB110318B,14 06 42.86,-51 34 44.5,2.1,Yes,4.5,True,https://www.swift.ac.uk/xrt_curves/00449549/
449399,00449399,GRB110315A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00449399/
449074,00449074,GRB110312A,10 29 55.43,-05 15 46.5,2.0,Yes,3.4,True,https://www.swift.ac.uk/xrt_curves/00449074/
448229,00448229,GRB110305A,17 23 31.36,-15 48 08.1,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00448229/
446677,00446677,GRB110223B,,,,,,False,https://www.swift.ac.uk/xrt_curves/00446677/
446674,00446674,GRB110223A,23 03 25.74,+87 33 25.9,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00446674/
445776,00445776,Kes 73,18 41 19.46,-04 56 10.4,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00445776/
445414,00445414,GRB110213A,02 51 51.35,+49 16 22.5,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/00445414/
445141,00445141,GRB110210A,00 52 13.59,+07 46 45.3,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00445141/
445038,00445038,GRB110208A,01 29 50.86,-20 35 33.9,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00445038/
444643,00444643,GRB110205A,10 58 30.76,+67 31 31.2,3.5,No,,True,https://www.swift.ac.uk/xrt_curves/00444643/
444230,00444230,GRB110201A,09 10 18.56,+88 36 21.6,3.6,No,4.6,True,https://www.swift.ac.uk/xrt_curves/00444230/
443861,00443861,GRB110128A,12 55 35.08,+28 03 54.3,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00443861/
442978,00442978,GRB110119A,23 14 20.74,+05 59 11.4,3.6,No,,True,https://www.swift.ac.uk/xrt_curves/00442978/
442771,00442771,GRB110118A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00442771/
442539,00442539,Non-burst,,,,,,False,https://www.swift.ac.uk/xrt_curves/00442539/
442039,00442039,GRB110112A,21 59 43.87,+26 27 23.3,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00442039/
441676,00441676,GRB110106B,08 56 37.12,+47 00 10.9,2.1,Yes,4.3,True,https://www.swift.ac.uk/xrt_curves/00441676/
441664,00441664,GRB110106A,05 17 13.83,+64 10 26.0,3.9,Yes,,True,https://www.swift.ac.uk/xrt_curves/00441664/
441454,00441454,GRB110102A,16 23 31.59,+07 36 48.7,2.1,Yes,4.5,True,https://www.swift.ac.uk/xrt_curves/00441454/
440955,00440955,GRB101224A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00440955/
440635,00440635,GRB101219B,00 48 55.66,-34 33 55.6,4.3,No,,True,https://www.swift.ac.uk/xrt_curves/00440635/
440606,00440606,GRB101219A,04 58 20.51,-02 32 22.1,2.4,Yes,4.8,True,https://www.swift.ac.uk/xrt_curves/00440606/
440285,00440285,GRB101213A,16 05 15.27,+21 53 49.8,3.8,No,2.2,True,https://www.swift.ac.uk/xrt_curves/00440285/
438675,00438675,GRB101117B,11 32 0.78,-72 39 45.2,2.0,Yes,3.1,True,https://www.swift.ac.uk/xrt_curves/00438675/
437408,00437408,GRB101030A,11 05 31.83,-16 22 41.8,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00437408/
437016,00437016,GRB101024A,04 26 1.52,-77 15 53.6,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00437016/
436429,00436429,GRB101017A,19 25 32.65,-35 08 42.1,2.0,Yes,4.1,True,https://www.swift.ac.uk/xrt_curves/00436429/
436094,00436094,GRB101011A,03 13 10.96,-65 58 55.5,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00436094/
435903,00435903,GRB101008A,21 55 29.88,+37 03 57.7,3.8,No,,True,https://www.swift.ac.uk/xrt_curves/00435903/
435520,00435520,BAT_Trigger_435520,,,,,,False,https://www.swift.ac.uk/xrt_curves/00435520/
434178,00434178,GRB100915A,21 02 46.51,+65 40 22.8,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00434178/
433953,00433953,BAT_Trigger_433953,,,,,,False,https://www.swift.ac.uk/xrt_curves/00433953/
20147,00020147,GRB100909A,04 55 47.79,+54 39 28.3,4.7,No,,True,https://www.swift.ac.uk/xrt_curves/00020147/
433509,00433509,GRB100906A,01 54 44.29,+55 37 49.7,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00433509/
433442,00433442,GRB100905A,02 06 12.12,+14 55 47.2,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00433442/
433160,00433160,GRB100902A,03 14 30.98,+30 58 43.7,2.1,Yes,3.4,True,https://www.swift.ac.uk/xrt_curves/00433160/
433065,00433065,GRB100901A,01 49 3.41,+22 45 30.1,3.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/00433065/
432420,00432420,GRB100823A,01 22 49.06,+05 50 06.4,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00432420/
431764,00431764,GRB100816A,23 26 57.65,+26 34 44.2,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00431764/
431758,00431758,BAT_Trigger_431758,,,,,,False,https://www.swift.ac.uk/xrt_curves/00431758/
431605,00431605,GRB100814A,01 29 53.44,-17 59 44.6,2.4,Yes,,True,https://www.swift.ac.uk/xrt_curves/00431605/
431582,00431582,BAT_Trigger_431582,17 47 16.19,-28 10 48.9,3.7,No,,True,https://www.swift.ac.uk/xrt_curves/00431582/
431128,00431128,GRB100807A,03 41 12.50,+67 40 18.0,2.2,Yes,4.6,True,https://www.swift.ac.uk/xrt_curves/00431128/
430975,00430975,GRB100805B,,,,,,False,https://www.swift.ac.uk/xrt_curves/00430975/
430957,00430957,GRB100805A,19 59 30.21,+52 37 40.3,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00430957/
430603,00430603,GRB100802A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00430603/
430151,00430151,GRB100728A,05 55 2.16,-15 15 19.7,3.6,No,3.1,True,https://www.swift.ac.uk/xrt_curves/00430151/
430094,00430094,GRB100727A,10 16 42.59,-21 23 25.0,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00430094/
429969,00429969,GRB100725B,19 20 7.87,+76 57 23.8,2.1,Yes,2.4,True,https://www.swift.ac.uk/xrt_curves/00429969/
429954,00429954,GRB100725A,11 05 55.57,-26 40 12.9,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00429954/
429868,00429868,GRB100724A,12 58 10.29,-11 06 10.0,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00429868/
20143,00020143,GRB100713A,17 00 48.46,+28 23 41.6,4.9,No,4.8,True,https://www.swift.ac.uk/xrt_curves/00020143/
426722,00426722,GRB100704A,08 54 33.82,-24 12 09.8,2.1,Yes,4.3,True,https://www.swift.ac.uk/xrt_curves/00426722/
426438,00426438,GRB100702A,16 22 47.26,-56 31 53.8,2.4,Yes,,True,https://www.swift.ac.uk/xrt_curves/00426438/
426405,00426405,SAX 1712.6-3739,17 12 36.75,-37 38 43.0,4.1,No,2.0,True,https://www.swift.ac.uk/xrt_curves/00426405/
426114,00426114,GRB100628A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00426114/
425647,00425647,GRB100625A,01 03 10.95,-39 05 17.5,2.4,Yes,,True,https://www.swift.ac.uk/xrt_curves/00425647/
425151,00425151,GRB100621A,21 01 13.24,-51 06 21.7,2.0,Yes,2.0,True,https://www.swift.ac.uk/xrt_curves/00425151/
424998,00424998,GRB100619A,05 38 29.31,-27 00 17.2,2.0,Yes,2.4,True,https://www.swift.ac.uk/xrt_curves/00424998/
424733,00424733,GRB100615A,11 48 49.27,-19 28 51.3,2.0,Yes,2.0,True,https://www.swift.ac.uk/xrt_curves/00424733/
424716,00424716,GRB100614A,17 33 59.86,+49 14 05.1,2.0,Yes,4.9,True,https://www.swift.ac.uk/xrt_curves/00424716/
20140,00020140,GRB100610H,,,,,,False,https://www.swift.ac.uk/xrt_curves/00020140/
424161,00424161,GRB100608A,19 45 39.28,+27 21 50.4,3.7,No,3.4,True,https://www.swift.ac.uk/xrt_curves/00424161/
424040,00424040,BAT_Trigger_424040,,,,,,False,https://www.swift.ac.uk/xrt_curves/00424040/
424031,00424031,GRB100606A,23 22 30.37,-66 14 28.1,2.0,Yes,3.9,True,https://www.swift.ac.uk/xrt_curves/00424031/
423958,00423958,BAT_Trigger_423958,18 41 0.43,-05 35 46.3,3.6,No,3.9,True,https://www.swift.ac.uk/xrt_curves/00423958/
423184,00423184,GRB100526B,00 02 56.39,-37 54 42.9,5.3,No,,True,https://www.swift.ac.uk/xrt_curves/00423184/
423181,00423181,GRB100526A,15 23 4.53,+25 37 56.8,2.1,Yes,4.5,True,https://www.swift.ac.uk/xrt_curves/00423181/
422783,00422783,GRB100522A,00 27 56.83,+09 24 07.3,2.0,Yes,2.2,True,https://www.swift.ac.uk/xrt_curves/00422783/
20138,00020138,GRB100518A,20 19 9.23,-24 33 17.9,4.0,No,,True,https://www.swift.ac.uk/xrt_curves/00020138/
422437,00422437,GRB100518A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00422437/
421962,00421962,GRB100514A,21 55 17.45,+29 09 36.8,2.3,Yes,3.9,True,https://www.swift.ac.uk/xrt_curves/00421962/
421814,00421814,GRB100513A,11 18 26.74,+03 37 39.7,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00421814/
421695,00421695,GRB100511A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00421695/
421386,00421386,GRB100508A,05 04 58.91,-20 42 41.7,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/00421386/
421262,00421262,Kes 73,18 41 19.49,-04 56 21.6,5.1,No,,True,https://www.swift.ac.uk/xrt_curves/00421262/
421124,00421124,GRB100504A,17 02 17.20,-35 35 14.0,2.2,Yes,3.1,True,https://www.swift.ac.uk/xrt_curves/00421124/
421072,00421072,GRB100504A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00421072/
420398,00420398,GRB100425A,19 56 47.17,-26 25 49.6,2.4,Yes,,True,https://www.swift.ac.uk/xrt_curves/00420398/
420367,00420367,GRB100424A,13 57 47.44,+01 32 18.8,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/00420367/
420256,00420256,GRB100423B,,,,,,False,https://www.swift.ac.uk/xrt_curves/00420256/
419932,00419932,GRB100420A,19 44 30.57,+55 46 11.0,2.5,Yes,,True,https://www.swift.ac.uk/xrt_curves/00419932/
419797,00419797,GRB100418A,17 05 27.27,+11 27 40.8,2.8,Yes,,True,https://www.swift.ac.uk/xrt_curves/00419797/
20135,00020135,GRB100414,,,,,,False,https://www.swift.ac.uk/xrt_curves/00020135/
419404,00419404,GRB100413A,17 44 53.16,+15 50 02.8,2.1,Yes,3.2,True,https://www.swift.ac.uk/xrt_curves/00419404/
419015,00419015,BAT_Trigger_419015,,,,,,False,https://www.swift.ac.uk/xrt_curves/00419015/
417420,00417420,BAT_Trigger_417420,08 40 47.52,-45 03 33.7,3.9,No,,True,https://www.swift.ac.uk/xrt_curves/00417420/
416485,00416485,GRB100319A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00416485/
416226,00416226,GRB100317A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00416226/
416140,00416140,GRB100316E,,,,,,False,https://www.swift.ac.uk/xrt_curves/00416140/
416115,00416115,GRB100316C,02 09 8.80,-67 59 29.1,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00416115/
416103,00416103,GRB100316B,10 53 57.25,-45 28 23.0,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/00416103/
416076,00416076,GRB100316A,16 47 54.84,+71 49 35.4,4.4,No,,True,https://www.swift.ac.uk/xrt_curves/00416076/
414905,00414905,GRB100305A,11 13 28.23,+42 24 10.1,4.4,No,,True,https://www.swift.ac.uk/xrt_curves/00414905/
414875,00414875,BAT_Trigger_414875,17 54 25.26,-26 19 50.6,2.2,Yes,2.1,True,https://www.swift.ac.uk/xrt_curves/00414875/
414592,00414592,GRB100302A,13 02 3.80,+74 35 23.9,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00414592/
412982,00412982,GRB100219A,10 16 48.59,-12 34 01.3,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/00412982/
412217,00412217,GRB100213A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00412217/
412081,00412081,GRB100212A,23 45 40.41,+49 29 38.2,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00412081/
411412,00411412,GRB100206A,03 08 38.77,+13 09 27.1,3.6,Yes,,True,https://www.swift.ac.uk/xrt_curves/00411412/
411248,00411248,GRB100205A,09 25 33.07,+31 44 26.2,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00411248/
382941,00382941,GRB100117A,00 45 4.56,-01 35 41.7,2.4,Yes,4.1,True,https://www.swift.ac.uk/xrt_curves/00382941/
382399,00382399,GRB100111A,16 28 11.64,+15 33 02.5,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00382399/
381591,00381591,GRB091231A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00381591/
381434,00381434,GRB091229A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00381434/
380311,00380311,GRB091221A,03 43 11.59,+23 14 25.1,4.2,No,,True,https://www.swift.ac.uk/xrt_curves/00380311/
379449,00379449,GRB091215A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00379449/
378559,00378559,GRB091208B,01 57 34.09,+16 53 23.6,2.1,Yes,3.0,True,https://www.swift.ac.uk/xrt_curves/00378559/
378554,00378554,GRB091208,,,,,,False,https://www.swift.ac.uk/xrt_curves/00378554/
377436,00377436,GRB091130,,,,,,False,https://www.swift.ac.uk/xrt_curves/00377436/
377179,00377179,GRB091127,,,,,,False,https://www.swift.ac.uk/xrt_curves/00377179/
20120,00020120,GRB091111,,,,,,False,https://www.swift.ac.uk/xrt_curves/00020120/
375409,00375409,GRB091109B,07 30 56.51,-54 05 23.0,2.8,Yes,,True,https://www.swift.ac.uk/xrt_curves/00375409/
375246,00375246,GRB091109,20 37 1.89,-44 09 32.9,2.2,Yes,3.7,True,https://www.swift.ac.uk/xrt_curves/00375246/
374875,00374875,GRB091104,13 55 1.61,+47 24 38.2,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00374875/
374210,00374210,GRB091029,04 00 42.79,-55 57 20.7,2.0,Yes,4.8,True,https://www.swift.ac.uk/xrt_curves/00374210/
373871,00373871,GRB091026,18 26 17.41,-86 06 41.5,2.1,Yes,3.5,True,https://www.swift.ac.uk/xrt_curves/00373871/
373787,00373787,Non-burst,20 04 36.44,+35 58 06.4,4.8,No,,True,https://www.swift.ac.uk/xrt_curves/00373787/
373684,00373684,Non-burst,,,,,,False,https://www.swift.ac.uk/xrt_curves/00373684/
373679,00373679,Non-burst,,,,,,False,https://www.swift.ac.uk/xrt_curves/00373679/
373674,00373674,GRB091024,22 41 10.76,+56 13 43.7,4032.3,No,,True,https://www.swift.ac.uk/xrt_curves/00373674/
373458,00373458,GRB091020,11 42 55.22,+50 58 41.4,2.1,Yes,4.3,True,https://www.swift.ac.uk/xrt_curves/00373458/
373172,00373172,GRB091018,02 08 44.70,-57 32 55.2,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00373172/
371210,00371210,IGR J17511-3057,17 51 8.63,-30 57 43.4,2.0,Yes,3.7,True,https://www.swift.ac.uk/xrt_curves/00371210/
